stoich,algo,run_label,run_label_unified,type,path,status,slurm_job_id,energy_ev_per_atom,space_group,formula_reduced,time_taken,continuation_of
In4Ga2ZnO10,pso,2,3,long,experimental-points/In_x/In4Ga2ZnO10/pso-2,complete,1982067,-5.48305,P1 (1),Ga2In4O10Zn,9:20:39,
In4Ga2ZnO10,pso,2,4,long,phase-diagram/vertical-line/In4Ga2ZnO10/pso-2,complete,1992842,-5.49154,Cm (8),Ga2In4O10Zn,8:40:22,
In4Ga2ZnO10,pso,s1,s1,short,short-runs/complete-runs/In4Ga2ZnO10/pso-s1,complete,2091891,-5.29821,P1 (1),Ga2In4O10Zn,1:28:35,
In4Ga2ZnO10,pso,s2,s2,short,short-runs/complete-runs/In4Ga2ZnO10/pso-s2,complete,2091892,-5.42651,P1 (1),Ga2In4O10Zn,0:59:26,
In4Ga2ZnO10,pso,s3,s3,short,short-runs/complete-runs/In4Ga2ZnO10/pso-s3,complete,2097568,-5.31238,P1 (1),Ga2In4O10Zn,1:22:35,
In4Ga2ZnO10,pso,s4,s4,short,short-runs/complete-runs/In4Ga2ZnO10/pso-s4,complete,2097569,-5.46682,Cm (8),Ga2In4O10Zn,0:56:58,
In4Ga2ZnO10,pso,s5,s5,short,short-runs/complete-runs/In4Ga2ZnO10/pso-s5,complete,2101974,-5.45742,Pm (6),Ga2In4O10Zn,1:08:29,
In4Ga2ZnO10,pso,s6,s6,short,short-runs/complete-runs/In4Ga2ZnO10/pso-s6,complete,2101975,-5.44826,P1 (1),Ga2In4O10Zn,0:42:05,
In4Ga2ZnO10,rand,1,1,long,experimental-points/In_x/In4Ga2ZnO10/rand,complete,1982068,-5.46246,Cm (8),Ga2In4O10Zn,7:00:54,
In4Ga2ZnO10,rand,1,2,long,phase-diagram/vertical-line/In4Ga2ZnO10/rand,complete,1992839,-5.48176,P1 (1),Ga2In4O10Zn,3:17:00,
In4Ga2ZnO10,rand,2,3,long,experimental-points/In_x/In4Ga2ZnO10/rand-2,complete,1982069,-5.51157,Pm (6),Ga2In4O10Zn,5:08:10,
In4Ga2ZnO10,rand,2,4,long,phase-diagram/vertical-line/In4Ga2ZnO10/rand-2,complete,1992840,-5.45369,Pm (6),Ga2In4O10Zn,7:36:39,
In4Ga2ZnO10,rand,s1,s1,short,short-runs/complete-runs/In4Ga2ZnO10/rand-s1,no_cif,2091889,N/A,N/A,N/A,N/A,
In4Ga2ZnO10,rand,s2,s2,short,short-runs/complete-runs/In4Ga2ZnO10/rand-s2,no_cif,2091890,N/A,N/A,N/A,N/A,
In4Ga2ZnO10,rand,s3,s3,short,short-runs/complete-runs/In4Ga2ZnO10/rand-s3,no_cif,2097566,N/A,N/A,N/A,N/A,
In4Ga2ZnO10,rand,s4,s4,short,short-runs/complete-runs/In4Ga2ZnO10/rand-s4,no_cif,2097567,N/A,N/A,N/A,N/A,
In4Ga2ZnO10,rand,s5,s5,short,short-runs/complete-runs/In4Ga2ZnO10/rand-s5,no_cif,2101972,N/A,N/A,N/A,N/A,
In4Ga2ZnO10,rand,s6,s6,short,short-runs/complete-runs/In4Ga2ZnO10/rand-s6,no_cif,2101973,N/A,N/A,N/A,N/A,
In4Ga2ZnO10,tpe,1,1,long,experimental-points/In_x/In4Ga2ZnO10/tpe,complete,1982064,-5.43371,P1 (1),Ga2In4O10Zn,5:51:50,
In4Ga2ZnO10,tpe,1,2,long,phase-diagram/vertical-line/In4Ga2ZnO10/tpe,complete,1992837,-5.48836,Cm (8),Ga2In4O10Zn,5:12:40,
In4Ga2ZnO10,tpe,2,3,long,experimental-points/In_x/In4Ga2ZnO10/tpe-2,complete,1982065,-5.44197,P1 (1),Ga2In4O10Zn,5:06:26,
In4Ga2ZnO10,tpe,2,4,long,phase-diagram/vertical-line/In4Ga2ZnO10/tpe-2,complete,1992838,-5.46011,Pm (6),Ga2In4O10Zn,5:13:31,
In4Ga2ZnO10,tpe,s1,s1,short,short-runs/complete-runs/In4Ga2ZnO10/tpe-s1,complete,2091887,-5.41319,P1 (1),Ga2In4O10Zn,1:07:08,
In4Ga2ZnO10,tpe,s2,s2,short,short-runs/complete-runs/In4Ga2ZnO10/tpe-s2,complete,2091888,-5.43489,P1 (1),Ga2In4O10Zn,0:24:26,
In4Ga2ZnO10,tpe,s3,s3,short,short-runs/complete-runs/In4Ga2ZnO10/tpe-s3,complete,2097564,-5.43976,P1 (1),Ga2In4O10Zn,1:28:46,
In4Ga2ZnO10,tpe,s4,s4,short,short-runs/complete-runs/In4Ga2ZnO10/tpe-s4,complete,2097565,-5.47819,P1 (1),Ga2In4O10Zn,0:40:39,
In4Ga2ZnO10,tpe,s5,s5,short,short-runs/complete-runs/In4Ga2ZnO10/tpe-s5,complete,2101970,-5.41585,P1 (1),Ga2In4O10Zn,1:18:39,
In4Ga2ZnO10,tpe,s6,s6,short,short-runs/complete-runs/In4Ga2ZnO10/tpe-s6,complete,2101971,-5.45444,P1 (1),Ga2In4O10Zn,1:03:10,
In4Ga4Zn5O17,pso,1,1,long,experimental-points/Zn_x/In4Ga4Zn5O17/pso,complete,1992950,-5.16227,P1 (1),Ga4In4O17Zn5,10:03:07,
In4Ga4Zn5O17,pso,2,2,long,experimental-points/Zn_x/In4Ga4Zn5O17/pso-2,complete,1992951,-5.23317,P1 (1),Ga4In4O17Zn5,4:41:36,
In4Ga4Zn5O17,pso,s1,s1,short,short-runs/working-dir/In4Ga4Zn5O17/pso-s1,complete,2104563,-5.0375,P1 (1),Ga4In4O17Zn5,0:55:55,
In4Ga4Zn5O17,pso,s2,s2,short,short-runs/working-dir/In4Ga4Zn5O17/pso-s2,complete,2104564,-4.98262,P1 (1),Ga4In4O17Zn5,0:57:34,
In4Ga4Zn5O17,rand,1,1,long,experimental-points/Zn_x/In4Ga4Zn5O17/rand,no_cif,2023074,N/A,N/A,N/A,N/A,
In4Ga4Zn5O17,rand,2,2,long,experimental-points/Zn_x/In4Ga4Zn5O17/rand-2,no_cif,2014652,N/A,N/A,N/A,N/A,
In4Ga4Zn5O17,rand,s1,s1,short,short-runs/working-dir/In4Ga4Zn5O17/rand-s1,no_cif,2104561,N/A,N/A,N/A,N/A,
In4Ga4Zn5O17,rand,s2,s2,short,short-runs/working-dir/In4Ga4Zn5O17/rand-s2,no_cif,2104562,N/A,N/A,N/A,N/A,
In4Ga4Zn5O17,tpe,1,1,long,experimental-points/Zn_x/In4Ga4Zn5O17/tpe,complete,1992946,-5.2552,P1 (1),Ga4In4O17Zn5,18:06:05,
In4Ga4Zn5O17,tpe,2,2,long,experimental-points/Zn_x/In4Ga4Zn5O17/tpe-2,complete,1992947,-5.25529,P1 (1),Ga4In4O17Zn5,14:11:40,
In4Ga4Zn5O17,tpe,s1,s1,short,short-runs/working-dir/In4Ga4Zn5O17/tpe-s1,no_cif,2104559,N/A,N/A,N/A,N/A,
In4Ga4Zn5O17,tpe,s2,s2,short,short-runs/working-dir/In4Ga4Zn5O17/tpe-s2,no_cif,2104560,N/A,N/A,N/A,N/A,
In4Ga4ZnO13,pso,1,1,long,phase-diagram/diagonal-line/In4Ga4ZnO13/pso,complete,1992987,-5.52828,P1 (1),Ga4In4O13Zn,12:14:54,
In4Ga4ZnO13,pso,2,2,long,phase-diagram/diagonal-line/In4Ga4ZnO13/pso-2,complete,1992988,-5.52321,P1 (1),Ga4In4O13Zn,5:02:08,
In4Ga4ZnO13,pso,s1,s1,short,short-runs/working-dir/In4Ga4ZnO13/pso-s1,complete,2104502,-5.33666,P1 (1),Ga4In4O13Zn,1:12:34,
In4Ga4ZnO13,pso,s2,s2,short,short-runs/working-dir/In4Ga4ZnO13/pso-s2,complete,2104503,-5.51365,P1 (1),Ga4In4O13Zn,1:07:53,
In4Ga4ZnO13,rand,1,1,long,phase-diagram/diagonal-line/In4Ga4ZnO13/rand,complete,1992985,-5.54684,Cm (8),Ga4In4O13Zn,11:03:14,
In4Ga4ZnO13,rand,2,2,long,phase-diagram/diagonal-line/In4Ga4ZnO13/rand-2,complete,1992986,-5.54684,Cm (8),Ga4In4O13Zn,9:37:07,
In4Ga4ZnO13,rand,s1,s1,short,short-runs/working-dir/In4Ga4ZnO13/rand-s1,complete,2104500,-5.53411,P1 (1),Ga4In4O13Zn,1:01:21,
In4Ga4ZnO13,rand,s2,s2,short,short-runs/working-dir/In4Ga4ZnO13/rand-s2,complete,2104501,-5.52907,P1 (1),Ga4In4O13Zn,0:49:21,
In4Ga4ZnO13,tpe,1,1,long,phase-diagram/diagonal-line/In4Ga4ZnO13/tpe,complete,1992983,-5.54652,P1 (1),Ga4In4O13Zn,18:32:24,
In4Ga4ZnO13,tpe,2,2,long,phase-diagram/diagonal-line/In4Ga4ZnO13/tpe-2,complete,2014680,-5.5466,P1 (1),Ga4In4O13Zn,8:02:58,
In4Ga4ZnO13,tpe,s1,s1,short,short-runs/working-dir/In4Ga4ZnO13/tpe-s1,complete,2104498,-5.50981,P1 (1),Ga4In4O13Zn,1:12:08,
In4Ga4ZnO13,tpe,s2,s2,short,short-runs/working-dir/In4Ga4ZnO13/tpe-s2,complete,2104499,-5.52455,P1 (1),Ga4In4O13Zn,1:25:52,
